id,from,to,type,numLanes,speed,priority,spreadType,width,name,endOffset,sidewalkWidth,length,emergency,authority,passenger,hov,taxi,bus,delivery,truck,trailer,motorcyle,moped
-135796743#1,5828734734,5828734738,highway.secondary,2,27.78,7,,,Gore Street,,,57.302,1,1,1,1,1,1,1,1,1,1,1
-135796743#2,99472165,5828734734,highway.secondary,2,27.78,7,,,Gore Street,,,64.723,1,1,1,1,1,1,1,1,1,1,1
-135796743#3,813762974,99472165,highway.secondary,2,27.78,7,,,Gore Street,,,74.790,1,1,1,1,1,1,1,1,1,1,1
-135796743#4,99576192,813762974,highway.secondary,2,27.78,7,,,Gore Street,,,100.243,1,1,1,1,1,1,1,1,1,1,1
-135796767#0,99592232,99483417,highway.residential,1,13.89,4,,,Lee Avenue,,,103.011,1,1,1,1,1,1,1,1,1,1,1
-135796767#1,99477198,99592232,highway.residential,1,13.89,4,,,Lee Avenue,,,99.551,1,1,1,1,1,1,1,1,1,1,1
-135796767#2,99592230,99477198,highway.residential,1,13.89,4,,,Lee Avenue,,,97.661,1,1,1,1,1,1,1,1,1,1,1
-135796767#3,99592228,99592230,highway.residential,1,13.89,4,,,Lee Avenue,,,103.462,1,1,1,1,1,1,1,1,1,1,1
-135796767#4,99592226,99592228,highway.residential,1,13.89,4,,,Lee Avenue,,,99.473,1,1,1,1,1,1,1,1,1,1,1
-135796767#5,99531736,99592226,highway.residential,1,13.89,4,,,Lee Avenue,,,100.531,1,1,1,1,1,1,1,1,1,1,1
-135796767#6,99592224,99531736,highway.residential,1,13.89,4,,,Lee Avenue,,,98.430,1,1,1,1,1,1,1,1,1,1,1
-135796777,99483417,99585843,highway.residential,1,13.89,4,,,Lee Avenue,,,200.947,1,1,1,1,1,1,1,1,1,1,1
-135796891,1411916007,99483417,highway.residential,1,13.89,4,,,24th Street,,,159.962,1,1,1,1,1,1,1,1,1,1,1
-138656506#0,2198939875,99634217,highway.tertiary,1,11.18,6,,,Kaley Street,,,8.501,1,1,1,1,1,1,1,1,1,1,1
-138656506#1,6444546634,2198939875,highway.tertiary,1,11.18,6,,,Kaley Street,,,78.822,1,1,1,1,1,1,1,1,1,1,1
-138656506#2,6077189807,6444546634,highway.tertiary,1,11.18,6,,,Kaley Street,,,58.922,1,1,1,1,1,1,1,1,1,1,1
-138656506#3,6077189808,6077189807,highway.tertiary,1,11.18,6,,,Kaley Street,,,15.100,1,1,1,1,1,1,1,1,1,1,1
-138656506#4,cluster_557657859_99489627,6077189808,highway.tertiary,1,11.18,6,,,Kaley Street,,,13.930,1,1,1,1,1,1,1,1,1,1,1
